"C_ID","C_Age","C_Education","C_Gender","C_MonthlyIncome","C_MonthlyFamilyIncome","C_HomeOwnershipStatus","C_RelationshipStatus","C_NumberofDependants","C_EmploymentType","C_FirmSize","C_Industry","C_FinancialLiteracy","C_FinancialInstitution","C_PersonalFinancialAdvice","C_TotalVoluntarySuperContribution","App_Tenure","App_AverageDailySessionTime","App_FrequencyOfDecline","App_ContributionTriggerAmount","App_NumberoftimeContributionTriggerAmountChanged","App_RoundUpWholeAmount","App_ShowTutorial"
"f8b288e2-2094-4111-82ae-487a943976f2",53,"P","M",13153,32883,"N","S",8,"C","M","CON","M","CSE","Y",0,5,14,"H",10,17,0,"N"
"74d75c8a-c0c9-40a3-8cf4-807aefbddd91",23,"P","M",5117,5117,"N","O",2,"C","M","IMT","L","SUN","N",256,13,35,"H",10,29,1,"N"
"c2ab9e4c-118b-4d87-95d5-22e6b66a47ca",59,"D","F",11004,27510,"Y","O",5,"P","P","RET","H","SUN","Y",2201,23,42,"L",10,91,1,"Y"
"f8cf3740-85c7-40d1-9006-5492d0df1916",21,"P","F",4731,4731,"N","S",1,"P","M","WHT","L","SUN","N",473,27,14,"H",10,80,1,"N"
"fc61b5ef-cb48-4b39-b873-3488f1d7a2b6",34,"H","M",6516,13032,"Y","O",5,"C","S","MAN","M","PIB","N",652,23,8,"H",10,14,1,"N"
"f11fba32-8a78-4d27-81f3-68dc340ba983",56,"B","F",13233,33083,"Y","S",6,"P","P","HAC","M","CTI","Y",0,18,51,"H",0,59,0,"N"
"18edcc95-6b54-4cbd-a56f-8bf0ec79a92f",35,"D","M",11786,11786,"N","S",1,"C","S","HAC","M","CSP","N",589,2,12,"H",10,25,1,"N"
"f121f1d4-1fc4-4e89-bbdc-37bc3db3ee03",46,"P","F",10277,25693,"N","S",8,"P","S","RET","M","PIB","Y",0,21,53,"H",0,8,0,"N"
"c828f40b-93cf-49e1-881a-56787589461e",38,"D","M",9136,22840,"N","M",8,"P","S","MAN","M","MBL","Y",1472,11,35,"M",10,20,1,"N"
"f3df1dae-18c5-4765-aa19-2dbb39f89f5d",59,"H","M",11736,29340,"Y","S",3,"C","M","HAC","M","CSE","Y",0,11,18,"H",10,10,0,"N"
"0a31b9ae-a141-4731-8caa-6671136ba22a",54,"M","M",11094,11094,"N","S",1,"P","P","RET","M","MEB","N",2219,22,19,"M",10,6,1,"N"
"d4d2345e-b627-4f35-943e-62bde7afecd3",21,"H","F",4793,9586,"N","S",4,"C","P","THR","L","AMPS","N",0,17,8,"H",0,31,0,"N"
"fb10228c-3326-424b-b987-5e297d6679a8",59,"H","F",12773,12773,"Y","O",6,"P","M","TNT","M","PIB","Y",2555,5,29,"L",10,7,1,"Y"
"f1cb8f77-86d2-4261-9775-14a158b66f1a",53,"D","F",19090,47725,"Y","M",7,"P","M","MAN","H","PSP","Y",4391,15,24,"L",10,21,1,"Y"
"2ec891ba-c678-4c6c-8bbb-472daed89a80",24,"D","F",6332,13930,"N","S",0,"C","P","IMT","L","CUA","N",365,4,58,"H",10,24,1,"N"
"4f74e94a-bef8-4029-a84c-027251539215",53,"B","F",14810,26658,"Y","O",0,"P","P","CON","M","CBA","Y",2962,7,55,"L",10,14,1,"Y"
"c74a5c2e-d72e-45f4-bdc3-0c1c726cbd57",38,"P","F",7147,7147,"N","S",1,"C","P","EDU","L","AMPB","N",715,15,58,"H",10,33,1,"N"
"2a70d3fe-021c-47e3-9de0-2f41b6d1bf96",34,"B","F",6424,6424,"N","S",1,"C","P","AFF","L","WST","N",321,20,48,"H",10,33,1,"N"
"5e9a69e1-1d1d-4778-b8af-41db04c21a92",38,"D","M",8815,14986,"N","M",5,"P","M","EGW","M","CSE","N",710,4,7,"H",10,86,1,"N"
"d3f8c13d-7363-42b7-93cc-e8032b3af529",52,"D","F",17330,17330,"Y","S",1,"P","P","RET","H","BWA","Y",3466,7,25,"L",10,68,1,"Y"
"617e9af1-affb-4ba1-a46f-41bb782d4384",44,"H","F",10588,23294,"Y","O",7,"P","P","TNT","M","CSP","Y",529,18,37,"H",10,21,1,"N"
"cc4b38f0-a673-411f-8a6d-922261767e04",46,"D","M",16820,42050,"Y","M",8,"P","M","RET","M","CTI","Y",5416,17,60,"L",10,12,1,"Y"
"46f9a5da-4d49-4fdb-baa5-af3a340c0ce3",51,"B","O",19599,19599,"Y","S",1,"C","P","IMT","H","ING","Y",3920,11,40,"L",10,32,1,"Y"
"29b0590a-8adf-4565-b616-ad4b43f94958",20,"B","F",5933,13053,"N","S",8,"C","P","MAN","L","HSB","N",342,3,42,"H",10,20,1,"N"
"074ac0c1-39ee-46d2-9f88-e04350812204",47,"D","M",8333,18333,"Y","M",8,"P","P","HOS","L","HSB","N",2684,29,25,"M",10,8,1,"N"
"72d51754-71fe-43e1-8276-7b4bc079dbbf",24,"H","M",7940,7940,"N","O",2,"P","P","FSS","L","CSE","N",397,5,11,"H",10,23,1,"N"
"011a0b71-05cc-461a-aecd-c68eee40d6eb",25,"M","M",19920,35856,"N","O",4,"P","M","HOS","M","VFL","Y",2996,16,19,"M",10,22,1,"N"
"7443f05c-7f96-4c18-a864-cf7bab5992f2",50,"B","M",11497,11497,"Y","O",7,"P","P","EDU","M","AMPB","Y",2299,18,25,"L",10,49,1,"Y"
"e71d3689-5486-4dde-a2bb-6d17d621aafb",31,"H","F",7143,7143,"Y","S",1,"C","M","TNT","L","ANZ","N",714,22,47,"H",10,46,1,"N"
"80858e7f-7355-4fb6-9385-dee056526614",28,"B","F",4003,4003,"N","S",1,"C","S","EDU","L","MBL","Y",200,25,25,"H",10,36,1,"N"
"95a351ea-4aa1-4be8-bc0a-e9b39eb3dce2",60,"M","F",19889,49723,"Y","O",0,"P","S","MAN","H","BSA","N",2983,30,9,"L",10,27,1,"Y"
"630cf090-7aac-47bd-9257-e24686df3a98",35,"B","M",8397,8397,"N","S",1,"P","P","AFF","M","MLC","N",420,29,49,"H",10,22,1,"N"
"249c6fdc-16e5-42cb-b63d-4d75b131175c",21,"D","F",5562,12236,"N","S",1,"C","S","EGW","L","BQL","N",320,11,52,"H",10,38,1,"N"
"f4ba6505-0ef2-4f82-a7ab-f4e386c26162",57,"H","M",11928,29820,"N","O",0,"P","P","MAN","M","NAB","Y",2386,9,41,"L",10,100,1,"Y"
"d5cee55e-84ed-4096-a9dd-f6c934fe3d70",23,"H","F",4490,4490,"N","S",1,"C","S","MAN","L","PIB","N",449,21,12,"H",10,67,1,"N"
"58c65152-9314-48e1-94de-d67a1b1e1025",39,"B","F",9502,16153,"N","O",8,"C","S","EGW","M","CSP","N",475,26,0,"H",10,30,1,"N"
"f137ea31-12df-4721-8b3b-4a654b297143",42,"H","M",16918,16918,"Y","S",1,"C","S","THR","M","DBL","Y",3384,5,8,"L",10,42,1,"Y"
"ff26d747-164c-40dd-8383-a3e74dee2ffe",51,"P","M",19097,19097,"Y","S",1,"P","M","RET","H","WBC","Y",3819,6,7,"L",10,74,1,"Y"
"2b888997-f8de-4775-96bf-4179012891e1",29,"D","F",5530,5530,"N","S",1,"C","S","HAC","L","PIB","N",277,10,54,"H",10,51,1,"N"
"d07c4fde-fd22-4daa-a5ad-38df1f0d6cd3",48,"D","M",12031,12031,"Y","S",1,"P","S","FSS","M","CSE","Y",2406,25,13,"L",10,32,1,"Y"
"dc1863cc-625e-4276-a683-2eef7039e880",36,"P","M",7621,19053,"Y","M",4,"P","P","AFF","L","STG","N",1227,16,23,"M",10,5,1,"N"
"1c5c62be-9017-44dc-a135-9e174abd87d2",41,"D","F",9188,9188,"N","S",1,"C","P","IMT","M","HSB","Y",459,19,51,"H",10,5,1,"N"
"bfcb8b9e-6e27-4daf-964e-e3496d542751",49,"D","F",17701,17701,"Y","S",1,"C","M","FSS","M","VFL","Y",3540,7,35,"L",10,16,1,"Y"
"cc5ba203-844d-44fa-8286-9a6a9635635d",44,"H","M",19813,19813,"Y","O",1,"C","P","THR","H","FLY","Y",3963,6,7,"L",10,8,1,"Y"
"25a85385-9183-4194-9196-6b423369810a",50,"D","M",6381,6381,"N","O",5,"C","S","IMT","L","MEB","N",1276,25,56,"M",10,25,1,"N"
"c83fad80-fba0-4b87-97ab-95c0f8873035",30,"B","M",9300,9300,"N","O",7,"C","M","AFF","M","RAMS","Y",0,14,8,"H",0,77,0,"N"
"0d60c7ad-b8a7-45ac-91bb-edeff5ed92e4",41,"P","M",13682,24628,"Y","O",7,"C","P","HAC","M","CBA","N",0,9,57,"H",0,61,0,"N"
"eed9e15f-5bd9-45fc-b210-2f9e98e554ab",51,"D","M",17408,17408,"Y","S",1,"P","M","CON","H","HPL","Y",3482,7,36,"L",10,43,1,"Y"
"01611cd6-a8d1-4cfb-9552-ca4f09f1857d",57,"H","F",15900,15900,"Y","S",1,"P","S","FSS","H","RAMS","Y",3180,16,36,"L",10,59,1,"N"
"629755ff-c0da-47eb-8fbf-068f19dcc2bc",53,"B","M",18597,40913,"Y","M",7,"P","P","EGW","H","AMEX","Y",5988,14,38,"L",10,46,1,"Y"
"3e4d5688-1971-4381-845b-fe68c5c0b4a6",38,"P","M",8532,8532,"N","O",8,"C","S","EDU","M","HSB","N",427,28,59,"H",10,11,1,"N"
"af9c8af0-a95b-4e1d-80ee-0a2e39e7c73a",25,"D","F",4242,8484,"N","O",6,"C","P","CON","M","CTI","N",424,12,5,"H",10,78,1,"N"
"30e71cb6-6149-4ada-b695-2bfbfa053a98",47,"M","F",14355,14355,"Y","S",1,"P","M","AFF","M","VFL","Y",2871,27,47,"M",10,66,1,"Y"
"e69b8b15-fd60-4419-9c63-dc810c22a255",42,"P","M",14146,14146,"N","S",1,"P","M","HOS","H","CMC","Y",2829,24,8,"L",10,54,1,"Y"
"8f480154-f81e-4982-a70b-a97deba0b911",28,"D","F",5857,5857,"N","S",1,"P","P","HOS","L","AMPS","Y",0,28,22,"H",10,10,0,"N"
"990b441f-bf9c-4d62-b027-a9b4dca8fa41",31,"B","F",7206,7206,"N","S",1,"P","P","RET","L","AMPS","N",360,11,46,"H",10,98,1,"N"
"1b418b67-0417-497e-bda6-75127fa40589",25,"D","F",5716,12575,"Y","O",3,"C","S","EDU","L","FMC","N",286,16,0,"H",10,59,1,"N"
"de38fddb-5065-4261-a322-e0991620ffb7",56,"D","M",12207,12207,"Y","S",1,"P","S","EDU","M","CBU","Y",0,27,5,"H",0,53,0,"N"
"b02d0ae1-6db2-4f27-ba6c-61a36286bef4",48,"P","F",19814,49535,"Y","O",4,"P","P","IMT","H","BWA","Y",3963,3,6,"L",10,41,1,"Y"
"193dc68f-507d-4443-8644-72501437a3e7",44,"D","M",7906,17393,"Y","O",8,"C","M","FSS","L","HAS","N",0,28,19,"H",10,90,0,"N"
"67d9c00b-4d63-4f06-b8fd-f87e5538e6d0",52,"M","F",16441,36170,"Y","M",2,"P","S","HOS","H","NAB","Y",3781,21,30,"L",10,27,1,"Y"
"77108231-4121-495c-af62-37f078958ea4",59,"M","M",13637,13637,"Y","O",2,"P","P","IMT","M","HSB","Y",2727,4,49,"L",10,55,1,"Y"
"5dc26c7d-13af-4a75-b5ed-0b148387ee00",38,"M","M",6365,6365,"N","O",6,"P","M","THR","L","SUN","N",318,26,54,"H",10,92,1,"N"
"47869d31-1c21-428c-82fb-98db7f74b104",48,"D","M",19250,34650,"Y","M",1,"P","S","IMT","H","IOOF","Y",6199,30,6,"L",10,92,1,"Y"
"23411274-2572-4184-8d08-e868fa95df95",49,"D","F",7312,7312,"Y","S",1,"C","S","EDU","L","HSB","Y",1462,25,39,"M",10,67,1,"N"
"5f973921-b854-4ef2-a6e3-2943b3c4fc15",39,"H","M",6761,6761,"N","S",1,"P","M","AFF","L","NAB","N",338,9,58,"H",10,36,1,"N"
